canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1.O=C(O)C(=O)O,CHEMBL3415783,nM,5.5,nM,5.5
C#CCN(C)CC(=C)c1cccc(COc2cccc(OC)c2)c1.O=C(O)C(=O)O,CHEMBL3415784,nM,350.0,nM,350.0
C#CCN(C)CC(=C)c1cccc(COc2ccc(OC)cc2)c1.O=C(O)C(=O)O,CHEMBL3415785,nM,440.0,nM,440.0
C#CCNCC(=C)c1cccc(COc2ccccc2)c1.O=C(O)C(=O)O,CHEMBL3415786,nM,250.0,nM,250.0
C#CCNCC(=C)c1cccc(OCc2cccc(F)c2)c1.O=C(O)C(=O)O,CHEMBL3415611,nM,4200.0,nM,4200.0
C#CCN(C)CC(=C)c1ccc(C)c(C)c1.O=C(O)C(=O)O,CHEMBL3415815,nM,91.0,nM,91.0
C#CCN(C)CC(=C)c1ccc(F)c(F)c1.O=C(O)C(=O)O,CHEMBL3415816,nM,3100.0,nM,3100.0
C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1.O=C(O)C(=O)O,CHEMBL3415817,nM,61.0,nM,61.0
C#CCN(C)CC(=C)c1ccc(F)c(C)c1.O=C(O)C(=O)O,CHEMBL3415818,nM,230.0,nM,230.0
C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1.O=C(O)C(=O)O,CHEMBL3415819,nM,100.0,nM,100.0
C#CCN(C)CC(=C)c1ccc(F)c(Cl)c1.O=C(O)C(=O)O,CHEMBL3415820,nM,26.0,nM,26.0
Cl.N[C@H]1C[C@H]1c1cccc(NC(=O)c2ccccc2)c1,CHEMBL3416434,nM,80070.0,uM,80.07
Cl.N[C@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,CHEMBL3416432,nM,21200.0,uM,21.2
Cl.N[C@@H]1C[C@@H]1c1ccc(NC(=O)c2ccccc2)cc1,CHEMBL3416431,nM,19170.0,uM,19.17
N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,CHEMBL3989843,nM,890.0,uM,0.89
Cl.NC1CC1c1ccccc1NC(=O)c1ccccc1,CHEMBL3416430,,,,
Cl.NC1CC1c1ccccc1NC(=O)c1ccccc1,CHEMBL3416430,,,,
Cl.N[C@@H]1C[C@H]1c1cccc(NC(=O)c2ccccc2)c1,CHEMBL3416429,nM,84700.0,uM,84.7
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,CHEMBL3416427,nM,16810.0,uM,16.81
Cl.N[C@H]1C[C@@H]1c1ccc(NC(=O)c2ccccc2)cc1,CHEMBL3416426,nM,12290.0,uM,12.29
Cl.NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,CHEMBL3416425,nM,8980.0,uM,8.98
N[C@@H]1C[C@H]1c1ccccc1NC(=O)c1ccccc1,CHEMBL3416435,,,,
N[C@H]1C[C@@H]1c1ccccc1NC(=O)c1ccccc1,CHEMBL3416436,,,,
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,CHEMBL3421673,nM,32020.0,uM,32.02
Cl.N[C@H]1C[C@@H]1c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,CHEMBL3421672,nM,42650.0,uM,42.65
Cc1c(C)c2ccc(OCCCN(C)Cc3ccccc3)cc2oc1=O.Cl,CHEMBL3586574,nM,134.0,uM,0.134
Cc1c(C)c2ccc(OCCCCN(C)Cc3ccccc3)cc2oc1=O,CHEMBL3586576,nM,96.0,uM,0.096
Cc1c(C)c2ccc(OCCCCCNCc3ccccc3)cc2oc1=O.Cl,CHEMBL3586577,nM,29.0,uM,0.029
Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O,CHEMBL3586582,nM,321.0,uM,0.321
CCN(CCCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1.Cl,CHEMBL3586583,nM,18.0,uM,0.018
CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1,CHEMBL3586592,nM,41.0,uM,0.041
Cc1cc2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O.Cl,CHEMBL3586593,,,,
Cc1cc(=O)oc2cc(OCc3ccc(CN(C)Cc4ccccc4)cc3)ccc12.Cl,CHEMBL3586594,,,,
Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O.Cl,CHEMBL3586595,nM,53.0,uM,0.053
Cc1cc(=O)oc2cc(OCc3ccc(CN(C)Cc4cccc(Cl)c4)cc3)ccc12.Cl,CHEMBL3586600,,,,
CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1.Cl,CHEMBL3586602,nM,45.0,uM,0.045
Cc1cc2ccc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)cc2oc1=O.Cl,CHEMBL3586603,nM,17.0,uM,0.017
Cc1cc(=O)oc2cc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)ccc12.Cl,CHEMBL3586604,nM,39.0,uM,0.039
Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)cc2oc1=O.Cl,CHEMBL3586605,nM,24.0,uM,0.024
CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1.Cl,CHEMBL3586608,nM,10.0,uM,0.01
CN(Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1)Cc1cccc(Cl)c1.Cl,CHEMBL3586610,nM,24.0,uM,0.024
CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1.Cl,CHEMBL3586611,nM,5.7,uM,0.0057
CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)[nH]c3c2)cc1.Cl,CHEMBL3586614,nM,4500.0,uM,4.5
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,CHEMBL8706,nM,11000.0,uM,11.0
C#CCN(C)Cc1ccccc1,CHEMBL673,nM,130.0,uM,0.13
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(Cl)ccc2O)cc1,CHEMBL3585853,nM,310.0,uM,0.31
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(N(C)C)ccc2O)cc1,CHEMBL3585852,nM,1000.0,uM,1.0
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(OC)ccc2O)cc1,CHEMBL3585851,nM,310.0,uM,0.31
C#CCN(C)[C@H](C)Cc1ccc(NCc2ccc(OC)cc2O)cc1,CHEMBL3585850,nM,1000.0,uM,1.0
C#CCN(C)[C@H](C)Cc1ccc(NCc2cccc(OC)c2O)cc1,CHEMBL3585849,nM,1000.0,uM,1.0
C#CCN(C)[C@H](C)Cc1ccc(NCc2ccccc2O)cc1,CHEMBL3585848,nM,210.0,uM,0.21
C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2C)cc1,CHEMBL3585847,nM,520.0,uM,0.52
C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2OC)cc1,CHEMBL3585846,nM,310.0,uM,0.31
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(F)ccc2O)cc1,CHEMBL3585854,nM,1000.0,uM,1.0
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc([N+](=O)[O-])ccc2O)cc1,CHEMBL3585855,nM,950.0,uM,0.95
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(O)ccc2O)cc1,CHEMBL3585856,nM,430.0,uM,0.43
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,CHEMBL8706,,,,
C#CCN(C)Cc1ccccc1,CHEMBL673,nM,188.0,uM,0.188
C#CCN(C)[C@H](C)Cc1ccccc1,CHEMBL972,nM,18.5,uM,0.0185
c1ccc2c(c1)c1ccncc1n2CCCCCCCCCn1c2ccccc2c2ccncc21,CHEMBL1098471,nM,150000.0,uM,150.0
