canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1cccnc1)CC2,CHEMBL173025,nM,880.0,uM,0.88
CCCC(=O)OC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL176535,nM,1500.0,uM,1.5
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@H](OC(=O)C13CCC(C)(C(=O)O1)C3(C)C)CC2,CHEMBL368071,nM,17000.0,uM,17.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(O)CC2,CHEMBL172557,nM,1200.0,uM,1.2
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(Br)CC2,CHEMBL177199,nM,1100.0,uM,1.1
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccncc1)CC2.Cl,CHEMBL555514,nM,970.0,uM,0.97
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)c1ccncc1)CC2,CHEMBL49847,nM,560.0,uM,0.56
COc1cc2nc(-c3cccc(F)c3)nc(O)c2cc1OC,CHEMBL18290,nM,40000000.0,mM,40.0
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL67,nM,530000.0,mM,0.53
COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,CHEMBL18351,nM,830.0,uM,0.83
COc1cc2nc(-c3ccc4ccccc4c3)nc(O)c2cc1OC,CHEMBL18974,nM,40000000.0,mM,40.0
COc1cccc(-c2nc(O)c3cc(OC)c(OC)cc3n2)c1,CHEMBL278647,nM,6500000.0,mM,6.5
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,800000.0,mM,0.8
COc1cccc(-c2nc(O)c3ccccc3n2)c1,CHEMBL18670,nM,8600000.0,mM,8.6
COc1cccc(-c2nc(O)c3cc(OC)ccc3n2)c1,CHEMBL18869,nM,4900000.0,mM,4.9
Oc1nc(-c2ccc3ccccc3c2)nc2ccccc12,CHEMBL18847,nM,40000000.0,mM,40.0
COc1cccc(-c2cc(O)c3cc(N4CCCC4)ccc3n2)c1,CHEMBL15778,nM,440.0,uM,0.44
Oc1nc(-c2ccccc2F)nc2ccccc12,CHEMBL18258,nM,40000000.0,mM,40.0
Oc1nc(-c2cccc(F)c2)nc2ccccc12,CHEMBL273327,nM,40000000.0,mM,40.0
COc1cc2nc(-c3ccc(F)cc3)nc(O)c2cc1OC,CHEMBL18753,nM,40000000.0,mM,40.0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL61,nM,460000.0,mM,0.46
Oc1nc(-c2ccc(F)cc2)nc2ccccc12,CHEMBL18688,nM,40000000.0,mM,40.0
COc1cc2nc(-c3ccccc3F)nc(O)c2cc1OC,CHEMBL276943,nM,40000000.0,mM,40.0
COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl,CHEMBL441018,nM,3700.0,uM,3.7
COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1,CHEMBL264224,nM,15000.0,uM,15.0
COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@@H]3O[C@@H]3c3ccc(C(=O)c4ccccc4)cc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1,CHEMBL166221,nM,100000.0,uM,100.0
COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccc(C(=O)c4ccccc4)cc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1,CHEMBL165020,nM,7400.0,uM,7.4
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL67,nM,1000.0,uM,1.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,1900.0,uM,1.9
Oc1cc(-c2ccccc2)nc2ccccc12,CHEMBL277148,nM,7300.0,uM,7.3
Cn1c(-c2ccc(O)cc2)cc(=O)c2ccccc21,CHEMBL276760,nM,40000.0,uM,40.0
COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1OC,CHEMBL422237,nM,40000.0,uM,40.0
COc1ccc2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,CHEMBL77198,nM,40000.0,uM,40.0
COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O,CHEMBL77552,nM,2000.0,uM,2.0
COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,CHEMBL18351,nM,830.0,uM,0.83
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1OC,CHEMBL75978,nM,40000.0,uM,40.0
COc1cc(OC)c(-c2oc3ccccc3c(=O)c2O)c(OC)c1,CHEMBL76933,nM,31000.0,uM,31.0
COc1cc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O,CHEMBL59220,nM,40000.0,uM,40.0
COc1cc(-c2oc3c(OC)c(OC)cc(O)c3c(=O)c2OC)ccc1O,CHEMBL73991,nM,40000.0,uM,40.0
COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2O)cc1O,CHEMBL77588,nM,40000.0,uM,40.0
COc1cc(-c2cc(=O)c3ccccc3o2)cc(OC)c1OC,CHEMBL307856,nM,40000.0,uM,40.0
COc1cc(-c2oc3c(OC)c(O)c(OC)c(O)c3c(=O)c2OC)cc(OC)c1OC,CHEMBL77385,nM,40000.0,uM,40.0
COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2OC)cc1OC,CHEMBL77993,nM,40000.0,uM,40.0
COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(O)c3)oc2c1,CHEMBL74898,nM,40000.0,uM,40.0
COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc(OC)c1OC,CHEMBL77705,nM,40000.0,uM,40.0
COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,CHEMBL74675,nM,40000.0,uM,40.0
COc1ccc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2O)cc1O,CHEMBL78167,nM,40000.0,uM,40.0
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,CHEMBL312750,nM,40000.0,uM,40.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,1400.0,uM,1.4
COc1cc(-c2oc3c(OC)c(O)c(OC)c(O)c3c(=O)c2OC)ccc1O,CHEMBL77156,nM,40000.0,uM,40.0
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1,CHEMBL78010,nM,40000.0,uM,40.0
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2OC)cc1O,CHEMBL309263,nM,3000.0,uM,3.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc(C#N)cc1)CC2,CHEMBL290219,nM,1900.0,uM,1.9
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc(Cl)cc1)CC2,CHEMBL34772,nM,2300.0,uM,2.3
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,4200.0,uM,4.2
CCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL35028,nM,40000.0,uM,40.0
CCCCCCCCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL35027,nM,40000.0,uM,40.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1cccc([N+](=O)[O-])c1)CC2,CHEMBL417869,nM,2800.0,uM,2.8
COc1cc(C(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(SC)c(=O)cc32)cc(OC)c1OC,CHEMBL287357,nM,3000.0,uM,3.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc(F)cc1)CC2,CHEMBL37812,nM,2400.0,uM,2.4
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1ccccc1[N+](=O)[O-])CC2,CHEMBL35529,nM,3200.0,uM,3.2
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1cccc([N+](=O)[O-])c1)CC2,CHEMBL285750,nM,3400.0,uM,3.4
CCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL35647,nM,2300.0,uM,2.3
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1ccc([N+](=O)[O-])cc1)CC2,CHEMBL284940,nM,2800.0,uM,2.8
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1ccc(F)cc1)CC2,CHEMBL37931,nM,2300.0,uM,2.3
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL18981,nM,2100.0,uM,2.1
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)CC2,CHEMBL36073,nM,2100.0,uM,2.1
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1ccc(C#N)cc1)CC2,CHEMBL416773,nM,2300.0,uM,2.3
COc1ccc(CN[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(SC)c(=O)cc32)c(OC)c1OC,CHEMBL285869,nM,2500.0,uM,2.5
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc(OC(C)=O)cc1)CC2,CHEMBL34781,nM,2100.0,uM,2.1
COc1cc(CN[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(SC)c(=O)cc32)cc(OC)c1,CHEMBL289240,nM,3400.0,uM,3.4
CCOC(=O)c1c(OC)cc(C(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(SC)c(=O)cc32)cc1OC,CHEMBL287697,nM,,uM,
CCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL37785,nM,40000.0,uM,40.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1cccc(C#N)c1)CC2,CHEMBL35438,nM,2500.0,uM,2.5
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1cc(O)c(O)c(O)c1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL58069,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc(CBr)cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL294164,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1cccc([N+](=O)[O-])c1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL300544,nM,40000.0,uM,40.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,1500.0,uM,1.5
