canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCN3CCOCC3)cc2s1,CHEMBL3681023,nM,3000.0,uM,3.0
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCc3ccc(N)cc3)cc2s1,CHEMBL3681022,nM,200.0,uM,0.2
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCc3ccccc3)cc2s1,CHEMBL3681021,nM,800.0,uM,0.8
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCc3ccccc3)cc2s1,CHEMBL3681020,nM,800.0,uM,0.8
COc1ccc(CNS(=O)(=O)c2ccc3nc(-c4c(N)n[nH]c4C)sc3c2)cc1,CHEMBL3681019,nM,1000.0,uM,1.0
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCc3ccc(Cl)cc3)cc2s1,CHEMBL3681018,nM,900.0,uM,0.9
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCc3cccs3)cc2s1,CHEMBL3681017,nM,1700.0,uM,1.7
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2s1,CHEMBL3681016,nM,4800.0,uM,4.8
COCCNS(=O)(=O)c1ccc2nc(-c3c(N)n[nH]c3C)sc2c1,CHEMBL3681015,nM,600.0,uM,0.6
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCO)cc2s1,CHEMBL3681014,nM,200.0,uM,0.2
Cc1[nH]nc(N)c1-c1nc2ccc(S(N)(=O)=O)cc2s1,CHEMBL3681013,nM,10.0,uM,0.01
Cc1[nH]nc(N)c1-c1nc2ccc(C(N)=O)cc2s1,CHEMBL3681012,nM,300.0,uM,0.3
CNS(=O)(=O)c1ccc2sc(-c3c(N)n[nH]c3C)nc2c1,CHEMBL3681011,nM,1900.0,uM,1.9
Cc1[nH]nc(N)c1-c1nc2cc(O)ccc2s1,CHEMBL3681010,nM,200.0,uM,0.2
Cc1[nH]nc(N)c1-c1nc2cc(F)c(S(=O)(=O)NCc3ccncc3)cc2s1,CHEMBL3681009,nM,130.0,uM,0.13
Cc1[nH]nc(N)c1-c1nc2cc(F)c(S(=O)(=O)NCCO)cc2s1,CHEMBL3681008,nM,50.0,uM,0.05
Cc1[nH]nc(N)c1-c1nc2cc(F)c(S(N)(=O)=O)cc2s1,CHEMBL3681007,nM,7.0,uM,0.007
Cc1[nH]nc(N)c1-c1nc2c(S(=O)(=O)NCCO)c(F)ccc2s1,CHEMBL3681006,nM,150.0,uM,0.15
Cc1[nH]nc(N)c1-c1nc2c(F)cc(S(N)(=O)=O)cc2s1,CHEMBL3681005,nM,40.0,uM,0.04
CNS(=O)(=O)c1ccc2nc(-c3cn[nH]c3N)sc2c1,CHEMBL3681004,nM,60.0,uM,0.06
Nc1ccc2nc(-c3cn[nH]c3N)sc2c1,CHEMBL3681003,nM,500.0,uM,0.5
Oc1ccccc1-c1n[nH]cc1-c1nc2ccccc2s1,CHEMBL3681002,nM,4600.0,uM,4.6
Cc1[nH]ncc1-c1nc2ccccc2s1,CHEMBL3681001,nM,900.0,uM,0.9
COC(=O)c1cccc2nc(-c3c(N)n[nH]c3C)sc12,CHEMBL3681000,nM,700.0,uM,0.7
Cc1cc(NS(=O)(=O)c2ccc3nc(-c4c(N)n[nH]c4C)sc3c2)nc(C)n1,CHEMBL3680999,nM,2600.0,uM,2.6
CNS(=O)(=O)c1ccc2nc(-c3c(N)n[nH]c3C)sc2c1,CHEMBL3680998,nM,70.0,uM,0.07
